tempo,temperatura
1,18.4
2,17.4
3,17.1
4,16.6
5,15.8
6,18.5
7,17.3
8,18.7
9,19.6
10,19.1
11,18.9
12,19.6
13,19.5
14,19.7
15,20.8
16,19.5
17,18.5
18,18.6
19,17.8
20,19.5
21,19.4
22,19.7
23,19.4
24,18.9
25,18.9
26,19
27,18.6
28,18.8
29,19.6
30,19.5
31,19.5
32,20
33,19.4
34,18.9
35,18.2
36,19
37,17.3
38,18.7
39,18.1
40,18.5
41,17.1
42,17.4
43,18
44,17
45,18.1
46,19
47,18.6
48,17.2
49,19.2
50,18.3
51,21.1
52,19.1
53,20.1
54,19
55,19.3
56,19
57,17.3
58,18.4
59,17.3
60,17.1
61,15.4
62,17.4
63,16.1
64,18.2
65,18.2
66,18.9
67,18
68,19.3
69,17.8
70,18.8
71,18.3
72,18.4
73,18.4
74,18.3
75,17.5
76,16.8
77,15.6
78,16
79,17.3
80,16.9
81,14
82,14.4
83,15.6
84,16.9
85,17.2
86,16.1
87,13.6
88,14.6
89,13
90,16.3
91,17.6
92,18
93,18.1
94,17.6
95,14.8
96,14.9
97,14.4
98,14.2
99,15
100,11.8
101,12.2
102,14.3
103,13.2
104,14.4
105,13.3
106,14.4
107,17.6
108,17
109,16
110,16.2
111,16.3
112,16.4
113,15.2
114,15.7
115,14.3
116,14.6
117,13.3
118,15.8
119,11.8
120,14.3
121,14.4
122,14.4
123,14.4
124,16.8
125,15.4
126,13.8
127,11.2
128,14.6
129,13.3
130,14.8
131,14
132,13.7
133,12.6
134,13
135,12.6
136,12.3
137,13.1
138,13
139,13.5
140,12.8
141,13.3
142,15
143,11.8
144,13.8
145,11.2
146,10.6
147,11.4
148,12.3
149,11
150,10.6
151,10.8
152,8.6
153,6.5
154,8.2
155,12.4
156,14.4
157,14.1
158,11.5
159,5.6
160,7.2
161,9.5
162,7.9
163,14.5
164,11.6
165,14.4
166,14.5
167,12
168,10.9
169,10.2
170,13.2
171,12.4
172,13.1
173,14.6
174,13.8
175,14.7
176,12.7
177,14.7
178,13.3
179,12.6
180,13.5
181,12.1
182,11.8
183,13
184,15.4
185,14.6
186,12
187,13.2
188,14.9
189,14.8
190,13.2
191,12.2
192,11.5
193,12.8
194,13.9
195,12
196,10.4
197,11.8
198,13.4
199,12.6
200,14.8
201,12.6
202,12.8
203,11.8
204,12.8
205,13
206,12.5
207,10.2
208,11.6
209,8.6
210,9.3
211,10
212,13.2
213,11.5
214,11.6
215,13.4
216,15.1
217,11.9
218,12.8
219,14.2
220,10.4
221,9.4
222,6.6
223,8.3
224,7.8
225,9.6
226,11
227,10.6
228,11.6
229,11
230,11.4
231,12.6
232,12.4
233,9.5
234,14.8
235,15.5
236,14.3
237,11.8
238,11.2
239,12.4
240,10.4
241,11
242,11.6
243,12.2
244,10.6
245,11.3
246,12.2
247,14.4
248,16.8
249,13.9
250,14.5
251,13.4
252,15.9
253,14
254,12.3
255,10.8
256,14.2
257,18.2
258,13.6
259,12.8
260,13.2
261,11.8
262,13.5
263,15
264,15
265,13.6
266,13.2
267,14.8
268,14.5
269,14.3
270,14
271,15.5
272,13.9
273,17
274,17.9
275,14
276,12.4
277,12.5
278,15.6
279,14.8
280,14.5
281,15.1
282,15.6
283,16.4
284,18
285,16.1
286,17.1
287,18.3
288,18.1
289,15.1
290,13.4
291,13
292,13.4
293,15.4
294,15.8
295,15.2
296,15.7
297,16.3
298,16.9
299,15.9
300,15.9
301,16.9
302,18.9
303,19
304,18.8
305,18.2
306,18.2
307,19.6
308,18
309,18.9
310,19
311,19.7
312,18.7
313,16.9
314,18.1
315,20.1
316,20.2
317,20.8
318,16.3
319,16.1
320,17.2
321,19
322,16.2
323,16.1
324,15.8
325,18
326,19
327,19.8
328,18.7
329,18.6
330,18.4
331,20.1
332,15.1
333,13.5
334,16.1
335,17.7
336,18
337,16.6
338,17.4
339,16.2
340,16.6
341,18.8
342,18.5
343,16.2
344,15.4
345,16
346,18.2
347,19.7
348,19.4
349,20
350,16.2
351,16.2
352,16.5
353,17.9
354,18.6
355,20.1
356,19.1
357,21.1
358,21.1
359,20.8
360,20.7
361,21.2
362,20.3
363,19.2
364,21.6
365,19.8